축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2025 전주단오,전주 덕진공원,2025-05-31,2025-06-01,우리나라 5대 명절 중 하나로 시민의 안녕과 풍년을 기원한는 전통 행사,전북특별자치도 전주시(청),전북특별자치도 전주시(청),,063-281-2682,,전주단오+덕진공원+한옥마을+객사,전북특별자치도 전주시 덕진구 권삼득로 390-1,전북특별자치도 전주시 덕진구 덕진동1가 1316-2,35.84749274,127.1210366,2025-05-12,4641000,전북특별자치도 전주시
2025 전주가맥축제,전주대학교 대운동장,2025-08-07,2025-08-09,전주 현지인들이 인정하는 가맥업소와 함께 공연을 즐기며 당일 생산한 맥주를 마실 수 있는 유일한 축제,전주가맥축제추진위원회,전북특별자치도+전북특별자치도 전주시+(재)전북특별자치도경제통상진흥원+전주가맥축제추진위원회,㈜하이트진로,,www.gamaek.co.kr,전주가맥축제+한옥마을+객사+전주대학교,전북특별자치도 전주시 완산구 천잠로 303,전북특별자치도 전주시 완산구 효자동2가 1080,35.81616752,127.0888808,2025-05-12,4641000,전북특별자치도 전주시
제18회_정남진_장흥_물축제,탐진강+편백숲우드랜드,2025-07-26,2025-08-03,살수대첩 거리 퍼레이드+지상 최대의 물싸움+황금 물고기를 잡아라+수중 줄다리기+워터락풀파티+지상 최대의 워터붐+수상 프로그램 등,전라남도 장흥군,정남진 장흥 물축제 추진위원회,,061-860-5771,https://www.jangheung.go.kr/festival,"정남진 장흥 물축제는 2024 ~ 2025 문화체육관광부 문화관광지정축제로 선정된 여름축제 중 하나이다. 탐진강, 장흥댐 호수 등 청정수자원을 기반으로 하여, 물”이라는 하나의 테마로 모든 프로그램을 연결 시켰으며, 주ㆍ야간 계속되는 프로그램은 남녀노소를 불문하고 참여할 수 있다.",,전라남도 장흥군 장흥읍 건산리 805,34.67840386,126.9049709,2025-07-16,4910000,전라남도 장흥군
진도군 보배섬 문화예술제,진도향토문화회관 일원,2025-10-31,2025-11-02,개막공연+강강술래 한마당 잔치+진도북놀이 페스티벌 등,(사)한국예총진도지회,전라남도 진도군,,061-540-3072,https://www.jindo.go.kr/tour/tour/info/festival.cs?act=view&infoId=99&searchCondition=&searchKeyword=&pageIndex=1,,전라남도 진도군 진도읍 진도대로 7197,전라남도 진도군 진도읍 동외리 1189,34.47975717,126.2685772,2025-06-26,5000000,전라남도 진도군
명량대첩축제,녹진관광지 일원,2025-09-19,2025-09-21,해전재현+출정식+만가행진+부대행사 등,(재)명량대첩기념사업회,전라남도+전라남도 진도군+전라남도 해남군,문화체육관광부+한국관광공사 등,061-540-3407,http://www.mldc.kr/web/,,전라남도 진도군 군내면 진도대로 8459-13,전라남도 진도군 군내면 녹진리 1,34.570758,126.300937,2025-06-26,5000000,전라남도 진도군
원츠(Wants) 순천,남문터광장,2025-06-07,2025-06-08,원도심 콘텐츠 축제,전라남도 순천시,전라남도 순천시,,,,,전라남도 순천시 중앙로 93,,34.953901,127.483332,2025-06-20,4820000,전라남도 순천시
2025 순천 비어페스타,오천그린광장,2025-06-14,2025-06-14,지역 수제 맥주 축제,전라남도 순천시,전라남도 순천시,,,,,,전라남도 순천시 오천동 702-1,34.933236,127.499563,2025-06-20,4820000,전라남도 순천시
(가칭)열대야 탈출 올랑가,중앙7길,2025-08-01,2025-08-31,원도심 활성화 특화 테마 축제,전라남도 순천시,전라남도 순천시,,,,,전라남도 순천시 중앙7길,,34.955721,127.48493,2025-06-20,4820000,전라남도 순천시
역전 싱싱거리 페스타,역전시장,2025-09-20,2025-09-20,역전시장 싱싱거리 활성화 축제,전라남도 순천시,전라남도 순천시,,,,,전라남도 순천시 역전장길 9,,34.943744,127.503331,2025-06-20,4820000,전라남도 순천시
제12회 순천웃장 국밥축제,웃장,2025-09-21,2025-09-21,국밥 축제,전라남도 순천시,전라남도 순천시,,,,,전라남도 순천시 북부시장3길 67,,34.958183,127.485353,2025-06-20,4820000,전라남도 순천시
제2회 글로벌 콘텐츠 페스티벌 in 순천,오천그린광장 등,2025-10-17,2025-10-19,문화향유와 산업전이 융복합된 종합 문화콘텐츠 축제,전라남도 순천시,전라남도 순천시,,,,,,전라남도 순천시 오천동 702-1,34.933236,127.499563,2025-06-20,4820000,전라남도 순천시
순천 대학로 축제,순천 대학로 일원,2025-10-01,2025-10-31,순천 대학로 축제,전라남도 순천시,전라남도 순천시,,,,,전라남도 순천시 중앙로 268,,34.969627,127.484131,2025-06-20,4820000,전라남도 순천시
